,Real Location,Type,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Nearby Locations and Other Facilities,Amenities: Other Facilities
2441,"B-17, Islamabad",House,9.5,7,20.0,7,B-17,"*Designer House For Sale* *Location:* Block B, B17, Multi Gardens, Islamabad *Size* 50*90. 1 kanal house *Asking Price* 9.50 Cr Only/- *Features:* - Double Heighted Lobby - Luxurious Finishing - 15 KV Solar with Green Meter - Electric Fencing - CCTV Cameras - 1 Drawing Room - 6 Bedrooms with attached baths. - 2 Sitting Spaces - 1 Designer Kitchen - 1* Designer kitchnet - 2 Cars Parking Space - 1 Room on Mumty - Sitting arrangement on Mumty - Near to Masjid, Markaz, Park and Grounds - servant Quarter - Single Unit - Basement, Ground plus First Floor","Built in year: 2026, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal","Bedrooms: 1, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Sauna, Jacuzzi","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)","Maintenance Staff, Security Staff, Facilities for Disabled"
2442,"F-10, Islamabad",House,24.5,6,20.0,5,F-10,F-10 Beautiful New 500 Yds Architect Design Double Story House Complete Imported Fitting And Fixtures Complete with Heating System 5 Master Bedrooms Attached Stylish Bathrooms Drawing Dining Two TV Lounge Two American Style Kitchen Store Sqtr HUGE LUSH GREEN LAWN 4 Car Parking Space Reasonable Price Contact Only Serious Buyers Negotiable Price Contact Al Hafiz Estate F-11 ISLAMABAD,"Built in year: 2016, Parking Spaces: 5, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
2443,"D-12, Islamabad",House,26.5,7,20.0,7,D-12,"D-12 Brand New 500 YD Architect Design Owner Build House Triple Story House OPPOSITE MARGALLA HILL Prime Location Complete Imported Fitting And Fixtures 10 Master Bedrooms Attached Stylish Bathrooms Three Drawing Dining , Powder Room, Three TV Lounge Two American Style Huge Kitchen , Store Three Servant Quarter Huge Car Parking Spaces Reasonable Price Contact Only Serious Buyers Negotiable Price Contact Al Hafiz Estate","Built in year: 2024, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features, Furnished","Bedrooms: 10, Bathrooms: 10, Servant Quarters: 3, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 3, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
2444,"G-15, Islamabad",House,3.4,7,8.0,5,G-15,"A Beautiful House Available For sale At Investor rate. Accommodation: 5 Master bedroom With Attach bath, 7 Washrooms 2 TV lounge 2 Drawing room 2 Kitchen 1 Servant Room with Attach washroom Store room Near to Markaz, School, Hospital, Mosque, Park, And Very Near to Roots School. For Further Information contact us.","Built in year: 2024, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Floors: 2","Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre",Lawn or Garden,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff"
2445,"DHA Phase 3 - Block B, DHA Defence Phase 3",House,6.25,6,20.0,5,DHA Defence,6.25 DHA phase 3 Islamabad sector B Near to Gaga Mall Near Main GT Road,"Built in year: 2023, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 1, Other Main Features, Furnished","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
2446,"Bahria Enclave - Sector B1, Bahria Enclave",House,2.5,4,5.0,3,Bahria Town,"House for Sale in Sector B, Bahria Enclave, Islamabad This beautiful house is located in Sector B, offering a lovely Margalla view. It features: Three bedrooms with attached bathrooms. Two TV lounges for comfortable family time. A drawing room for welcoming guests. A servant room on the rooftop for added convenience. The house is near the main gate, and close to the school, mosque, park, and filtration plant. The construction is solid and of high quality. Demand: 2.5 Crore PKR For more details or to schedule a visit, contact us today!","Built in year: 2020, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places",
2447,"F-6, Islamabad",House,33.5,6,22.0,5,F-6,"Attached Images Are Just for Reference Purpose Only Chohan HAY Estate Offers: - 533 SQYD - Brand New Home - Fully Furnished - Imported Furniture and Fixtures - Bedrooms with Attached Washrooms - Drawing, Dinning and TV Lounge - Lawn - Servant Quarters - Parking Space - Dont Waste Your Time, just grab this Fantastic Opportunity For more information and Additional options, kindly contact at mentioned numbers or visit CHOHAN HAY ESTATE","Built in year: 2020, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features, Furnished","Bedrooms, Bathrooms, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Powder Room, Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
2448,"Gulberg Greens, Gulberg",Flat,1.4,2,5.3,3,Gulberg,Gulberg Greens C Block Well Maintained Apartment Non Furnished Available For Rent,"Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features, Furnished","Bedrooms: 6, Bathrooms: 7, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
2449,"Eighteen, Kashmir Highway",House,7.5,6,10.0,5,Kashmir Highway,"BRANDED 10 MARLA VILLA IN EIGHTEEN SOCIETY ON MAIN SIRINAGAR HIGHWAY NEW BUNGALOW sized 35X65. * 5 Bedrooms with attach bathrooms * Wooden Flooring all over the house * 1 Servant Room * 1 luxury Kitchens with all appliances installed. * Drawing-room with great view. * TV Lounge with state of the art wooden work. * Single Unit Villa located at prime location of sirinagar highway. * Uninterrupted Electricity, Water supply available. * Market and Mosque located at walking distance. * 100 ft road in front of house. * Sun facing house with Big Car porch. * Excellent exterior and interior. * 18 Hole Golf course available in Society * Secure gated society with 24 hrs surveillance We are authentic and well recognized Real Estate and Construction Company. Feel free to contact us regarding sale and purchase of real estate in Islamabad. Additionally our construction projects stand tall and unique under the supervision of qualified Engineers. Get constructions quotes and allow us to build a dream house for you.","Built in year: 2025, Parking Spaces: 2, Flooring, Floors: 2","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Kitchens: 1, Study Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready","Community Lawn or Garden, First Aid or Medical Centre, Kids Play Area, Mosque",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff"
2450,"Jinnah Gardens Phase 1, Jinnah Gardens",House,5.5,6,14.0,6,FECHS,Brand New 14 Marla House For Sale In Jinnah Garden Wapda Meter And Water Supply Available Good Location Man Civic Center,"Built in year: 2025, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 6, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
2451,"Jinnah Gardens Phase 1, Jinnah Gardens",House,1.95,3,7.0,2,FECHS,"Brand New 7 Marla Single Story For Sale In Jinnah Garden Searching For 7 Marla Sized Properties? You Have Come To The Right Place. The City Of Islamabad Is Developing Fast And You Can Find Some Really Good Property Deals. The Future Outlook Of The House Is Positive, So Don'T Waste Time In Thinking. Trust Us, You'D Be Hard-Pressed To Find A Similar Property Offer That Falls Near This Rs. 23000000 Price Range. Jinnah Gardens Phase 1 Is Most Sought-After For Properties Due To Access To Access To All Kinds Of Facilities, So Hurry Up! Buy Your Property Today And Be A Lucky Owner. Some Prominent Details Of The Property Are As Follows. Snuggle With Your Coffee And Enjoy Your Winter Evenings With Central Heating In The House That Keeps It Warm. You Can Give Us A Call Right Now, To Find More About The Property. Entertain Guests Whenever You Want In This Spacious Drawing Room. Thanks To Central Air Conditioning, The Temperature In The House Is Always Maintained. This Property Comes With A Spacious Dining Hall Where You And Your Family Can Enjoy Mealtimes In Peace. House With Double-Glazed Windows Appear More Attractive And Safe. If You Have More Questions, Call Us.","Built in year: 2250, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Furnished","Bedrooms: 2, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 3, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
2452,"Jinnah Gardens Phase 1, Jinnah Gardens",House,2.4,3,7.0,2,FECHS,brand new 7 marla single story for sale in Jinnah garden wapda meter and water supply available lop clear,"Built in year: 2025, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring","Bedrooms: 2, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1",,,,,
2453,"Jinnah Gardens Phase 1, Jinnah Gardens",House,1.9,4,5.0,3,FECHS,"Brand New 5 Marla Dade Story House For Sale In Jinnah Garden Good Location, Carpet Road Water supply Available 1 Car Parking Peaceful Environment. Reasonable Demand. Interested Persons Are Welcome To Visit The Property. Please Feel Free To Call Us If You Need Further Details About this. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal. Please Remember To Mention Zameen. Com When Calling.","Built in year: 2026, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities","Community Lawn or Garden, Mosque","Lawn or Garden, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Nearby Public Transport Service, Other Nearby Places",
2454,"Bahria Enclave - Sector A, Bahria Enclave",House,5.7,5,10.0,5,Bahria Town,"Brand New 10 Marla House for Sale in Bahria Enclave Sector A Prime Location | Premium Design | Spacious Living This stunning 10 Marla house offers the perfect blend of luxury, comfort, and functionality. A rare opportunity to own a meticulously designed home in one of Islamabads most prestigious communities! Property Highlights: 5 Spacious Bedrooms (All with Attached Bathrooms) 2 Elegant Drawing Rooms (Perfect for Relaxation & Entertainment) 2 Cozy Lounges (Ideal for Family Gatherings) 2 Modern Kitchens (Fully Equipped for Culinary Enthusiasts) Powder Room (For Added Convenience) Servant Quarters (With Attached Bath & Separate Entrance) Exclusive | Secure | High-Value Investment Contact now for a direct deal!","Built in year, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features, Furnished","Bedrooms: 6, Bathrooms: 6, Servant Quarters, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
2455,"Bahria Enclave - Sector C1, Bahria Enclave",House,4.4,5,10.0,5,Bahria Town,"Sector C1, 10 Marla, Slightly used house, Luxury House for sale In Bahria Enclave Islamabad The Main features are : 5 Luxury Bedrooms 5 Luxury attached Bathrooms, attached wardrobes 2 Beautiful kitchen with open space and open air ventilation, 1 servant room, 1 powder room and parking space available. Main Hall is very beautiful and luxury type the whole house is luxury. This Sector C1 is very calm quite and peaceful location for best living, ideal place to live & Most beautiful place in bahria enclave. Near to grand mosque near by hospitals and nearby schools nearby restaurants and commercials markets and other facilities. Complete 24/7 security surveillance by security teams, so don't heisted just contact us right now so we will make a good deal for you.","Built in year: 2024, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features, Furnished","Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
2456,"F-6/2, F-6",House,80.0,-,40.0,9,F-6,"Luxury House for Sale F-6/2, Islamabad Prime Location Size: 1000 Sq. Yards (100/90) 3 Storeys | Lift | Spacious Bedrooms Swimming Pool | Jacuzzi | Sauna Home Theatre | Private Gym Central Heating & Cooling Rooftop with Stunning Margalla Hills View Single Owner | Clear Documents Demand: 85 Crore A premium residence in Islamabads most sought-after sector, offering luxury, comfort, and breathtaking views. A beautifully designed, high-end property in one of Islamabads most prestigious sectors. Featuring top-tier amenities, modern architecture, and a peaceful environment. Serious buyers only","Built in year: 2024, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2","Bedrooms: 5, Bathrooms: 5, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room",,"Community Lawn or Garden, Kids Play Area, Mosque",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities"
2457,"F-6, Islamabad",House,130.0,-,100.0,10,F-6,A beautiful house available for sale in f/6 corner House size 2500 sq yard sunfacing CDA transfer demand 1.30 arb negotiable,"Built in year: 2020, Parking Spaces: 8, Central Heating, Flooring, Electricity Backup, Floors: 2, Other Main Features","Bedrooms: 10, Bathrooms: 12, Servant Quarters: 3, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom",,,,
2458,"D-12, Islamabad",House,5.75,4,5.0,4,D-12,BEAUTIFUL LOCATION BRAND NEW HOUSE SOLID CONSTRUCTION BEST OPTION FOR RESIDENT,"Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
2459,"Lilly Sector - Block A, DHA Valley - Lilly Sector",House,0.64,2,5.0,2,DHA Defence,Most Attractive Price 5 Marla Home in DHA valley ( Phase 7 ) in Lily A block All Dues Clear No extra charges Electricity Available 2 Bedroom 2 Bathroom Gated Community E-Tag Entrance Parks Masjids Markets Gym Dispensary Limited Lime Oppurtunity Investor Price Home Feel Free to Contact,"Built in year: 2018, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 1, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
2460,"Gulberg Greens, Gulberg",Farm House,35.0,7,100.0,9,Gulberg,"5 Kanal Fully Furnished Farm House With All Appliances And Air Conditioners Install For Sale. 1 Total Build Up Covered Area 13211 Sq. Ft 2 Area Of Plot Five Kanal = 3055 Sq. Yds 3 Basement : Sitting Area, Dining Area,Three Bedrooms With Attach Bathroom,Dining Area,Lounge,Two Servant Quarters. 4 Ground Floor: Double Weighted Sitting Lounge, Drawing Dining, Entrance Lobby, Double Heigted Covered Courtyard,Main Kitchen, Dirty Kitchen, Powder Washroom, Theater, Two Bedrooms, Parking, Gazebo, Guard Room, Store. 5 First Floor: Four Bedrooms, Sitting Lounge, Powder Washroom, Main Kitchen, Dirty Kitchen, Store, Outdoor Sitting. 6: Mumty : Two Large Servant Quarters","Built in year: 2022, Parking Spaces: 10, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features, Furnished","Bedrooms, Bathrooms, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
2461,"G-14/4, G-14",House,4.7,5,4.0,4,G-14,"Property Details: Size: 4 Marla Location: Proper corner house Brand new construction Stylish modern elevation Solid structure with premium material Beautiful tile flooring throughout Spacious bedrooms with attached bathrooms Stylish kitchen with quality fittings Wide car porch and open front view Proper ventilation with natural light Ideal location, near market, mosque, and park Perfect choice for a small family or investment purpose ready to move!","Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 5, Drawing Room, Dining Room, Kitchens: 2","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","First Aid or Medical Centre, Day Care Centre, Kids Play Area, Mosque, Community Centre",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff"
2462,"F-6, Islamabad",House,34.5,6,26.0,5,F-6,"Attached images are for reference purpose only. Chohan HAY Estate Offers: - 666 SQYD House - EXTRA Land - Demolishable House - Investor Rate - Build Your Dream Luxury Home and Enjoy the Additional Land - Invest in Real Estate and Enjoy High Returns - Best Deal - CDA Transfer - Prime Location - The Right Time to Invest in Real Estate - Dont Waste Your time, Just grab this Fantastic Opportunity For more information and additional options, kindly contact us at mentioned numbers or visit CHOHAN HAY ESTATE","Parking Spaces, Double Glazed Windows, Central Air Conditioning, Waste Disposal, Floors: 3, Other Main Features","Bedrooms: 6, Bathrooms: 7, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Jacuzzi","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities"
